,火山,科大讯飞,百度
20241216111549.wav,唱一首关于我可爱小猫咪的歌曲。,唱一首关于我可爱小猫咪的歌曲。,唱一首关于我可爱小猫咪的歌曲。
20241220105455.wav,被休息了十分钟过后提醒我去吃饭。,10分钟过后提醒我去吃饭。,十分钟过后提醒我去吃饭。
20241231201121.wav,表格小哥，你帮我做一首歌啊！相约格莱美邻里情。,小格小格，你帮我做一首歌啊，相约格莱美邻里情。,表格小格，你帮我做一首歌啊，相约格莱美，邻里琴。
20241231214935.wav,小格小格，我现在跟叶菊两个人坐着飞机从慈溪飞到了上海，你帮我画一个图面吧。,小格小格，我现在跟叶局两个人坐着飞机，从慈溪飞到了上海，你帮我画一个图面吧。,小格小格，我现在跟业绩两个人坐着飞机，从慈溪飞到了上海，你帮我画一个图片吧！
20241218193541.wav,今天上海天气怎么样？,今天上海天气怎么样？,今天上海天气怎么样？
20241231203246.wav,小格小格，我想做一个中东城，想跟市政府、市长、市委书记汇报，你感觉到我帮我写，怎么样写一个向市政府汇报的报告单比较好？,小格小格，我想做一个忠诚想跟市政府市长市委书记汇报，你感觉到我帮我写怎么样写一个向市政府汇报的报告单比较好。,小格小格，我想做一个中东城，想跟市政府市长，市委书记汇报，你感觉到我帮我写怎么样写一个向市政府汇报的报告单比较好？
20241226175957.wav,请给我介绍一下格莱美秀山路丘比特厅的格调。,请给我介绍一下格莱美秀山路，丘比特厅的格调。,请给我介绍一下格莱美，秀山路，丘比特厅的格调。
20241219145206.wav,小哥，我要发大众点评的笔记，帮我写一个四十个字的文案，和和那个文案就可以了。,小哥，我要发大众点评的笔记，帮我写一个4个字的文案和和那个文案就可以了。,小格，我要刷大众点评的笔记，帮我写一个40个字的文案和和那个文案就可以了。
20241219222032.wav,提醒陈泽玉两分钟后唱一首歌。,提醒程泽钰两分钟后唱一首歌。,提醒陈泽雨两分钟后唱一首歌。
20241219222608.wav,提醒陈磊十点半过后就该休息了。,提醒程磊10:30过后就该休息了。,提醒陈磊，十点半过后就该休息了。
20241228184634.wav,啊，我也了解一下它的它的 t 台！,那我也了解一下他的他的T台。,那我也了解一下他的她的T台。
20241215134139.wav,小哥，你帮我做首歌吧，我爱水果，我想做音乐轻松一点的水果，水果之歌，你马上帮我做。,小格你帮我做首歌吧，我爱水果，我想做音乐轻松一点的水果，水果之歌你马上帮我做。,小格，你帮我做首歌吧，我爱水果，我想做音乐，轻松一点的水果，水果之歌，你马上帮我做。
20241231205742.wav,小哥小哥，你错误了，我要在中东城里开一个中东高端酒店，你看合不合适？,小哥小哥你错误了，我要在中东城里开一个中东高端酒店，你看合不合适？,小哥，小哥，你错误了，我要在中东城里开一个中东高端酒店，你看合不合适？
20250101151042.wav,你有厨师照片发给我吗？,你有厨师照片发给我吗？,你有厨师照片发给我吗？
20241219152802.wav,建设银行的电话发给我。,建设银行的电话发给我。,建设银行的电话发给我。
20241215192930.wav,小哥小哥，你给我生成一个画面，我在高老庄大厅里面吃饭。,小哥小哥，你给我生成一个画面，我在高老庄大厅里面吃饭。,小哥，小哥，你给我生成一个画面，我在高老庄大厅里面吃饭。
20241228005300.wav,给我详细讲讲精算师可以从事哪些行业？,给我详细讲讲精算师可以从事哪些行业？,给我详细讲讲精算师可以从事哪些行业？
20241221233249.wav,格莱美拥有自己的海鲜门店，为全国格莱美提供海鲜。我要发朋友圈，帮我写个文案！,格莱美拥有自己的海鲜门店为全国格莱美提供海鲜，我要发朋友圈帮我写个文案。,格莱美拥有自己的海鲜门店，为全国格莱美提供海鲜，我要发朋友圈，帮我写个文案。
20241220105318.wav,小格小格，你提你，十分钟以后提醒陈磊不让他喝杯水。,小格小格你及你10分钟以后提醒程磊让他喝杯水。,小格小格，你提你十分钟以后提醒陈磊，让他喝杯水。
20241231203912.wav,小格小格，这是我们中东城的视频，你帮我看看这个中东城优点是什么？缺点是什么？你帮我找找看这个中东城。,小格小格，这是我们忠诚的视频，你帮我看看这个东东城优点是什么，缺点是什么？你帮我找找看这个东东城。,小哥，小哥，这是我们中东城的视频，你帮我看看这个中东成优点是什么缺点是什么？你帮我找找看，这个东东城。
20241205194646.wav,比特币价格最高的时候是多少美元？,比特币价格最高的时候是多少美元？,比特币价格最高的时候是多少美元？
20241218193230.wav,上海今天天气如何？,上海今天天气如何？,上海今天天气如何？
20241231215624.wav,表格小格，今天晚上我去烧香，因为今天是跨年，你看好不好？,小哥小哥，今天晚上我去烧香，因为今天是跨年，你看好不好？,小哥，小哥，今天晚上我去烧香，因为今天是跨年，你看好不好？
20241225162825.wav,提醒王总在明天下午的时候，三点的时候开一场会议。,提醒王总在明天下午的时候，3点的时候开一场会议。,提醒王总在明天下午的时候三点的时候开一场会议。
20241231213123.wav,小哥小哥，你帮我看一下今天相约格莱美，邻里共情场，帮我做一个总结吧，然后顺便帮我找找里面高老板照片有没有。,小哥小哥你帮我看一下，今天相约格莱美邻里共青场，帮我做一个总结吧，然后顺便帮我找找里面高老板照片有没有。,小哥，小哥，你帮我看一下今天相约格莱美邻里共情长帮我做一个总结吧，然后顺便帮我找找里面高老板照片有没有？
20241217203656.wav,慈溪三店海洋厅的图片发给我。,慈溪三店海洋厅的图片发给我。,慈溪三店海洋厅的图片发给我。
20241225152017.wav,小格小格，你帮我生成一张图片，我跟刘卓先生在房顶上吃西瓜。,小格小格你帮我生成一张图片，我跟刘卓先生在房顶上吃西瓜。,小格小格，你帮我深圳一张图片，我跟刘卓先生在房顶上吃西瓜。
20241218193444.wav,今天，,今天。,今天。
20241223132445.wav,我需要发点评的笔记，帮我写六十到八十个字的文案，婚礼的，关于婚礼的。,我需要发点评的笔记，帮我写60~80个字的文案，婚礼的关于婚礼的。,我需要发点评的笔记，帮我写60到80个字的文案，婚礼的关于婚礼的。
20241225151522.wav,小格小格，我想看一下慈溪宗汉店的歌剧魅影厅的好看的照片。,小哥小哥，我想看一下慈溪宗汉店的歌剧魅影厅的好看的照片。,小哥，小哥，我想看一下慈溪宗汉店的歌剧魅影厅的好看的照片。
20241223132337.wav,我需要发点评的笔记是海洋厅的婚礼，帮我写五十到六十个字的文案。,我需要发点评的笔记，是海洋厅的婚礼，帮我写50~60个字的文案。,我需要发点评的笔记是海洋厅的婚礼，帮我写50到60个字的文案。
20241219190927.wav,格莱美高层的名单！,格莱美高层的名单。,格莱美高层的名单。
20241210174614.wav,帮我写一个姑苏店大众笔记。,帮我写一个姑苏店大众笔记。,帮我写一个姑苏店大众笔记。
20241220105550.wav,小格，你给我做了几个提醒啊？,小哥你给我做了几个提醒啊。,小格，你给我做了几个提醒啊？
20241228190816.wav,也就是碧海潮生。,嗯嗯嗯，也就是碧海潮生。,也就是碧海潮生。
20241230143838.wav,我想听关于小猴子爬山的故事！,我想听关于小猴子爬山的故事。,我想听关于小猴子爬山的故事。
20241229171057.wav,小小格小格，帮我写一篇呃美团的好评嗯关于格莱美综汉店。,小哥小哥帮我写一篇美团的好评，关于格莱美饭店。,小哥哥，小哥帮我写一篇美美团的好评，嗯，关于格莱美，送饭店。
20241218193134.wav,今天晚上。,今天晚上。,今天晚上。
20241222104157.wav,从玉屏风走到光明顶需要多长时间？,从玉屏峰走到光明顶需要多长时间？,从玉屏风走到光明顶，需要多长时间？
20241217203939.wav,小哥小哥，我要法事厅的图片，发给我一下。,小哥小哥，我要法师厅的图片发给我一下。,小哥，小哥，我要法师厅的图片发给我一下。
20241225150947.wav,我想问一下，我能不能不不参加圣诞晚会？,我想问一下我能不能不参加圣诞晚会？,我想问一下，我能不能不参加圣诞晚会？
20241203121329.wav,你在吗？你好！,你在吗？你好。,你在吗你好。
20241219222532.wav,提醒陈磊十点半过后就该休息了。,提醒程磊10:30过后就该休息了。,提醒陈磊，十点半过后就该休息了。
20241231214011.wav,那小哥，你帮我做一个中东城之歌！,那小哥你帮我做一个钟东城之歌。,那小哥，你帮我做一个钟东城之歌。
20241219222241.wav,提醒王珍该睡觉了！,提醒王峥该睡觉了。,提醒王蓁，该睡觉了。
20241216180036.wav,啊，介绍一下绿叶饭店！,介绍一下绿叶饭店。,啊，介绍一下绿叶饭店。
20241220192229.wav,两两分钟后提醒王总把你加回来。,两分钟后提醒王总把你加回来。,两分钟后提醒王总把你加回来。
20241225075913.wav,南昌有什么好玩的？,南昌有什么好玩的？,南昌有什么好玩的？
20241228190022.wav,了解一下灯光秀！,了解一下灯光秀。,了解一下灯光秀。
20241225214428.wav,小哥小哥，我要看一下格莱美科纪录店柏林少女的照片！,小哥小哥我要看一下格莱美科技路店，柏林少女的照片。,小哥，小哥，我要看一下格莱美科技六店柏林少女的照片。
20241220101657.wav,写一篇大众呃笔记。,写一篇大众笔记。,写一篇大众笔记。
20241225151721.wav,小格小格，我想问一下慈溪宗汉店二五年一月二十一号晚宴还有没有听啊？还有。,小格小格，我想问一下慈溪宗汉店25年1月21号晚宴，还有没有听啊？,小格小格，我想问一下，慈溪宗汉店25年1月21号晚宴还有没有听啊？
20241203181559.wav,小哥小哥，我爱上了正班长，你帮我写一首歌，然后做点画面给我，我等着。,小哥小哥，我爱上了郑班长，你帮我写一首歌，然后做点画面给我，我等着。,小哥，小哥，我爱上了郑班长，你帮我写一首歌，然后坐垫画面给我，我等着。
20241225214748.wav,小格提醒我十六分钟或下地铁。,小格提醒我16分钟后下地铁。,小格提醒我16分钟后下地铁。
20241213162914.wav,小哥，我要发一个点评的笔记，你帮我写一个二十个字的文案。,小哥我要发一个点评的笔记，你帮我写一个20个字的文案。,小哥，我要发一个点评的笔记，你帮我写一个20个字的文案。
20241231215720.wav,表格小格那你能不能在菩萨那边保一，帮我说两句好话，那菩萨多保佑保佑我呢？,小格小格，那你能不能在蒲山那边报，也帮我说两句好话，那菩萨多保佑保佑我呢。,表格小哥，那你能不能在菩萨那边宝玉？帮我说两句好话，那菩萨多保佑保佑我呢？
20241231203624.wav,小格小格，你知道我们格莱美要做中东城吗？中东城可是中国首个中东城哦！你知道我们有中东城的图片吗？,小哥小哥，你知道我们格莱美要做中东城吗？中通诚可是中国首个中通诚哦，你知道我们有中东城的图片吗？,小哥，小哥，你知道我们从来没有做中东城吗？中东成可是中国首个中东城哦，你知道我们有中东城的图片吗？
20241229111617.wav,菜单和套餐内容。,菜单和套餐内容。,菜单和套餐内容。
20241225214827.wav,科技路上格莱美占地面积？,科技路上，格莱美占地面积。,科技路上，格莱美占地面积。
20241203120948.wav,你好！你好！你好！你好！,你好你好你好你好。,你好你好你好你好。
20241219223148.wav,让磊哥半个小时过后去睡觉吧，不要太劳累。,,让磊哥半个小时过后去睡觉吧，不要太劳累。
20241222104357.wav,黄山的海拔有多高？,,黄山的海拔有多高？
20241219205158.wav,五分钟过后提醒我喝一口水可以吗？,5分钟过后提醒我喝一口水可以吗？,五分钟过后，提醒我喝一口水，可以吗？
20241222123924.wav,黄山光明顶有接水喝的地方吗？,黄山光明顶有接水喝的地方吗？,黄山光明顶有接水喝的地方吗？
20241216223518.wav,中国百强县排名发给我！,中国百强县排名发给我。,中国百强县排名发给我。
20241215191911.wav,小哥小哥，我是高斌，我今年五十岁了，我是一个男人，我在传统的徽式徽式建筑的房顶上吃西瓜，你能给我生成一个图片吗？,小哥小哥我是高兵，我今年50岁了，我是一个男人，我在传统的徽式徽式建筑的房顶上吃西瓜，你能给我生成一个图片吗？,小哥，小哥，我是高兵，我今年50岁了，我是一个男人，我在传统的优势徽式建筑的房顶上吃西瓜，你能给我生成一个图片吗？
20241215200726.wav,小格小格，你看看，在这里可以卖水果吗？,小格小格，你看看在这里可以卖水果吗？,小格小格，你看看在这里可以卖水果吗？
20241216125933.wav,小哥，你看看我在哪个城市，然后现在是什么季节？,小哥你看看我在哪个城市，然后现在是什么季节。,小哥，你看看我在哪个城市？然后现在是什么季节？
20241229233547.wav,嗯，睡觉吧，晚安。,嗯，睡觉吧，晚安。,睡觉了，晚安。
20241228191920.wav,介绍一下格莱美三店临安如梦汀。,介绍一下格莱美三店，林安如梦听。,介绍一下格莱美三店临安如梦厅。
20241231204406.wav,小哥小哥，那你帮我看看引进什么业态比较好，你来帮我出出意见，支支招吧！,小哥小哥，那你帮我看看引进什么业态比较好，你来帮我出出意见支招吧。,小格小哥，那你帮我看看引进什么液态比较好，你来帮我出出意见支支招吧！
20241225151508.wav,嗯，小格，小格，员工离职怎么删除在微信上的小格好友呢？,嗯，小格小格员工离职，怎么删除在微信上的小哥好友呢？,小格小格员工离职怎么删除在微信上的小格好友呢？
20241217204846.wav,小哥小哥，你认识我们家哪个销售比较好吗？,小哥小哥，你认识我们家哪个销售比较好吗？,小哥，小哥，你认识我们家哪个销售比较好吗？
20241229121302.wav,小哥小哥，介绍一下格莱美商店的冰雪厅？,小哥小哥介绍一下格莱美商店的冰雪听。,小哥，小哥介绍一下格莱美商店的冰雪厅。
20241223170314.wav,格莱美自己经营了水果啊，也要到过年了，需要用的水果帮我写一个文案，我要发朋友圈。,格莱美自己经营了水果也要到过年了，需要用的水果帮我写一个文案，我要发朋友圈。,格莱美自己经营了，水果也也要到过年了，需要用的水果，帮我写一个文案，我要发朋友圈。
20241225153045.wav,表格小哥，我们要在格莱美集团要开会，讲一下绩效，讲一下考核，讲一下规章制度，你帮我出一个会议纪要。,小哥小哥，我们要在格莱美集团要开会讲一下绩效奖一项考核，讲一下规章制度，你帮我出一个会议纪要。,小格小哥，我们要在格莱美集团要开会，讲一下绩效奖一项考核讲一下规章制度，你帮我出一个会议纪要。
20250101152449.wav,圣诞节活动照片。,圣诞节活动照片。,圣诞节活动照片。
20241228184534.wav,小哥小哥，我想了解一下阿芙洛之星水晶町？,小哥小哥，我想了解一下阿芙洛之心水晶厅。,小哥，小哥，我想了解一下阿芙洛之心水晶厅。
20241225150941.wav,小格小格，我想问一下五店的刘卓是做什么的？五店的刘卓是做什么工作的？,小格小格我想问一下5店的刘卓是做什么的？武店的刘卓是做什么工作呢？,小哥，小哥，我想问一下，五店的刘卓是做什么的？五店的刘卓是做什么工作的？
20241215134007.wav,小哥小哥，你在干嘛呀？,小哥小哥，你在干嘛呀？,小哥，小哥，你在干嘛呀？
20241205194814.wav,帮我到网上搜一下比特币价格最高的时候是多少钱？,帮我到网上搜一下比特币价格最高的时候是多少钱？,帮我到网上搜一下比特币价格最高的时候是多少钱？
20241225214604.wav,小格提醒我十六分钟后下地铁。,小格提醒我16分钟后下地铁。,小格提醒我16分钟后下地铁。
20241229135028.wav,一部之遥的演员有谁？,一步之遥的演员有谁？,一步之遥的演员有谁？
20241217205624.wav,把慈琦三店所有婚宴的图片发给我。,把慈溪三店所有婚宴的图片发给我。,把慈溪三店所有婚宴的图片发给我。
20241230143744.wav,给我讲一个五百字的故事。,给我讲一个500字的故事。,给我讲一个500字的故事。
20241231204615.wav,小格小格，我只想做商业业态啊，比如说文旅啊，比如说进行体育呀，比如说文化商业呀，比如说餐饮服务啊，我更想体现中东的价值，您帮我看看怎么样才能体现差异化？,小格小格，我只想做商业业态，厄比如说文旅呀，比如说进行体育呀，比如说文化商业呀，比如说餐饮服务啊，我更想体现中东的价值，您帮我看看怎么样才能体现差异化？,小格小格，我只想说商业业态啊，比如说文理啊，比如说进行体育呀，比如说文化商业啊，比如说餐饮服务啊，我更想体现中国的价值，您帮我看看怎么样才能体现差异化？
20241225151055.wav,你帮我全网收通集刘卓，通集刘卓，带呃登机，网络通机刘卓。,你把我全网通缉，刘卓通缉流转，登记网络通缉刘总。,帮我全网收通知留着通缉，留着大登登记网络通缉留着。
20241231215532.wav,小格小格，你感觉到我几月几号去烧香最好？,小格小格，你感觉到我几月几号去烧香最好？,小格小格，你感觉到我几月几号去烧香最好。
20241203120150.wav,你好！你好！你好！你好！,你好你好你好你好。,你好你好你好你好。
20241203121258.wav,我今天心情不好，你能安慰我一下？,我今天心情不好，你能安慰我一下。,我今天心情不好，你能安慰我一下。
20241225153324.wav,小格小格，帮我看一下格莱美格莱美科技店 debyting的图片。,小哥小哥帮我看一下，格莱美礼拜天的图片。,小格小哥，帮我看一下我们格莱美科技店迪拜厅的图片。
20250101123338.wav,好的，谢谢你！,好的，谢谢你。,好的，谢谢你。
20241231215120.wav,落过的吃法应该是怎么吃的？,路过的吃法应该是怎么吃的？,烙锅的吃法应该是怎么吃的？
20241231205333.wav,小格小格，你感觉到中东城开一个中东酒店在当今社会当中风险系数大不大？然后你再帮我介绍一下中东的产品在国内卖得最好的是什么？,小格小格，你感觉到中东城开一个中东酒店，在当今社会当中风险系数大不大？然后你再帮我介绍一下中东的产品在国内卖得最好的是什么？,小格小格，你感觉到中东城开一个中东酒店，在当今社会当中风险系数大不大？然后你再帮我介绍一下中东的产品在国内卖的最好的是什么？
20241226071210.wav,小格小格，帮我查一下中国的由来跟中中国的历史。,小哥小哥帮我查一下中国的由来跟中国的历史。,小哥，小哥，帮我查一下中国的由来，跟中中国的历史。
20241231215450.wav,小格，我需要一个文案！,小格我需要一个文案。,小哥，我需要一个文案。
20241226103123.wav,小格小格，我喜欢了陆东郭先生，我在海边跟他们在一起相亲相爱。我们想定居在上海，你帮我做一首歌吧。,小格小格我喜欢的路东郭先生，我在海边跟他们在一起，相亲相爱，我们想定居在上海，你帮我做一首歌吧。,小格小哥，我喜欢的路，东郭先生，我在海边跟他们在一起相亲相爱，我们想定居在上海，你帮我做一首歌吧！
20241225151308.wav,慢小格小格。,小格小格。,小格小格。
20241217204049.wav,小格，小格，你帮我找三慈溪商店妓院厅妓院厅的图片。,小哥小哥，你帮我找三慈溪三店剧院听音乐听的图片。,小格小哥，你帮我找找慈溪三店剧院厅剧院厅的图片。
20241225151452.wav,小哥小哥，我爱上了刘卓，我们认识在慈溪，相识在上海啊！爱情产生在海南，你帮我做一首歌吧，我们浪漫的冬季。,小哥小哥，我爱上了刘卓，我们认识在慈溪，相识在上海，啊，爱情产生在海南，你帮我做一首歌吧，我们浪漫的冬季。,小哥，小哥，我爱上了，留着我们认识在慈溪相识在上海啊，爱情产生在海南，你帮我做一首歌吧，我们浪漫的冬季。
20241224122959.wav,提醒我两分钟后喝水！,提醒我两分钟后喝水。,提醒我两分钟后喝水。
20241225151320.wav,圣诞节！圣诞节我爱！,圣诞节，圣诞节武汉。,圣诞节，圣诞节我们。
20241217203929.wav,小哥小哥，我要慈溪商店秀场厅的图片！,小哥小哥，我要慈溪三店秀餐厅的图片。,小哥，小哥，我要慈溪三店秀场厅的图片。
20241217205633.wav,把慈溪商店所有婚宴套餐的图片发给我。,把慈溪三店所有婚宴套餐的图片发给我。,把慈溪三店所有婚宴套餐的图片发给我。
20241219222708.wav,提醒磊哥五分钟过后就该去撸猫了！,提醒每隔5分钟过后就该去撸猫了。,提醒磊哥，五分钟过后就该去撸猫了。
20241228190806.wav,介绍一下格莱美善店中视厅。,介绍一下格莱美商店，中式厅。,介绍一下格莱美三店中式厅。
20241219231833.wav,提醒王珍王总，十二点的时候给我讲一个晚安故事。,提醒王珍，王总12点的时候给我讲一个晚安故事。,提醒王峥王总，12点的时候给我讲一个晚安故事。
20241225214940.wav,没有其他图片的吗？,没有其他图片了吗？,没有其他图片了吗？
20241219222442.wav,提醒我十点半的时候下班。,提醒我10:30的时候下班。,提醒我十点半的时候下班。
20241215191532.wav,小格小格，我是从中午两点多钟等到现在不能用，那么你还能会什么东西，你能告诉我吗？,小格小格，我是从中午两点多钟等到现在不能用，那么你还能会什么东西，你能告诉我吗？,小格小格，我是从中午两点多钟等到现在不能用，那么你还能会什么东西？你能告诉我吗？
20241229110644.wav,小格小格，介绍一下格莱美三店的法事厅。,小哥小哥介绍一下格莱美三店的法式厅。,小哥，小哥介绍一下格莱美商店的法式厅。
20241228184456.wav,小格小格，帮我查一下明州路的格莱美的厅。,小哥小哥，帮我查一下明州路的格莱美厅。,小哥，小哥，帮我查一下明州路的格莱美的厅。
